[INFO ] <2026-05-18 15:00:54,054> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@47c27634: SELECT blog_id, blog_title, blog_date, blog_author, blog_summary, blog_read, blog_html_content, user_nick_name FROM blog_details, user_info WHERE blog_delete = 0 AND blog_author = user_name ORDER BY blog_date DESC LIMIT 3 OFFSET 0 ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:00:54,054> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@579d6011: SELECT release_author, release_date, release_number, release_content, release_id FROM release_feature WHERE release_id = (SELECT max(release_id) FROM release_feature) ---| click goto-> (DbQueryUtils.java:79)
[INFO ] <2026-05-18 15:01:01,001> at [pers.husen.web.dbutil.DbQueryUtils.queryResultByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@4d13723: SELECT count(*) as count FROM blog_details WHERE blog_delete = 0 ---| click goto-> (DbQueryUtils.java:131)
[INFO ] <2026-05-18 15:01:01,001> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@6f3c2a21: SELECT blog_id, blog_title, blog_date, blog_author, blog_summary, blog_read, blog_html_content, user_nick_name FROM blog_details, user_info WHERE blog_delete = 0 AND blog_author = user_name ORDER BY blog_date DESC LIMIT 5 OFFSET 0 ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:01,001> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@389dfaed: SELECT release_author, release_date, release_number, release_content, release_id FROM release_feature WHERE release_id = (SELECT max(release_id) FROM release_feature) ---| click goto-> (DbQueryUtils.java:79)
[INFO ] <2026-05-18 15:01:01,001> at [pers.husen.web.dbutil.DbQueryUtils.queryResultByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@45b3f9c4: SELECT count(*) as count FROM blog_details WHERE blog_delete = 0 ---| click goto-> (DbQueryUtils.java:131)
[INFO ] <2026-05-18 15:01:01,001> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@2a53e885: SELECT category_id, category_name, COUNT(*) AS category_num FROM article_category LEFT JOIN blog_details ON blog_delete = 0 AND category_id = blog_category WHERE blog_category IS NOT NULL GROUP BY category_id, category_name ORDER BY category_id ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:03,003> at [pers.husen.web.dbutil.DbQueryUtils.queryResultByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@16a11b21: SELECT count(*) as count FROM code_library WHERE code_delete = 0 ---| click goto-> (DbQueryUtils.java:131)
[INFO ] <2026-05-18 15:01:03,003> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@29294be3: SELECT code_id, code_title, code_date, code_author, code_summary, code_read, code_html_content, user_nick_name FROM code_library, user_info WHERE code_delete = 0 AND code_author = user_name ORDER BY code_date DESC LIMIT 5 OFFSET 0 ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:03,003> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@ea1f460: SELECT release_author, release_date, release_number, release_content, release_id FROM release_feature WHERE release_id = (SELECT max(release_id) FROM release_feature) ---| click goto-> (DbQueryUtils.java:79)
[INFO ] <2026-05-18 15:01:03,003> at [pers.husen.web.dbutil.DbQueryUtils.queryResultByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@2c5c3997: SELECT count(*) as count FROM code_library WHERE code_delete = 0 ---| click goto-> (DbQueryUtils.java:131)
[INFO ] <2026-05-18 15:01:03,003> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@2149db92: SELECT category_id, category_name, COUNT(*) AS category_num FROM article_category LEFT JOIN code_library ON code_delete = 0 AND category_id = code_category WHERE code_category IS NOT NULL GROUP BY category_id, category_name ORDER BY category_id ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:04,004> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@7c611500: SELECT message_id,message_parent,message_belong,message_content,message_date,message_email,message_username FROM message_area where message_belong = 0 order by message_date ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:04,004> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@336fbb07: SELECT release_author, release_date, release_number, release_content, release_id FROM release_feature WHERE release_id = (SELECT max(release_id) FROM release_feature) ---| click goto-> (DbQueryUtils.java:79)
[INFO ] <2026-05-18 15:01:13,013> at [pers.husen.web.dbutil.DbQueryUtils.queryResultByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@5495b359: SELECT count(*) as count FROM file_download ---| click goto-> (DbQueryUtils.java:131)
[INFO ] <2026-05-18 15:01:13,013> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@69c0a436: SELECT file_id, file_name, file_url, file_upload_date, file_download_count FROM file_download ORDER BY file_download_count DESC LIMIT 10 OFFSET 0 ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:13,013> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@90641e3: SELECT release_author, release_date, release_number, release_content, release_id FROM release_feature WHERE release_id = (SELECT max(release_id) FROM release_feature) ---| click goto-> (DbQueryUtils.java:79)
[INFO ] <2026-05-18 15:01:15,015> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@5bcffcf8: SELECT release_author, release_date, release_number, release_content, release_id FROM release_feature WHERE release_id = (SELECT max(release_id) FROM release_feature) ---| click goto-> (DbQueryUtils.java:79)
[INFO ] <2026-05-18 15:01:16,016> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@569c2e86: SELECT code_id, code_title, code_date, code_author, code_summary, code_read, code_html_content, user_nick_name FROM code_library, user_info WHERE code_delete = 0 AND code_author = user_name ORDER BY code_date DESC LIMIT 3 OFFSET 0 ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:16,016> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@5d6d36ba: SELECT blog_id, blog_title, blog_date, blog_author, blog_summary, blog_read, blog_html_content, user_nick_name FROM blog_details, user_info WHERE blog_delete = 0 AND blog_author = user_name ORDER BY blog_date DESC LIMIT 3 OFFSET 0 ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:16,016> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@3764584e: SELECT release_author, release_date, release_number, release_content, release_id FROM release_feature WHERE release_id = (SELECT max(release_id) FROM release_feature) ---| click goto-> (DbQueryUtils.java:79)
[INFO ] <2026-05-18 15:01:49,049> at [pers.husen.web.dbutil.DbQueryUtils.queryResultByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@555129a7: SELECT count(*) as count FROM code_library WHERE code_delete = 0 ---| click goto-> (DbQueryUtils.java:131)
[INFO ] <2026-05-18 15:01:49,049> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@54af5db0: SELECT code_id, code_title, code_date, code_author, code_summary, code_read, code_html_content, user_nick_name FROM code_library, user_info WHERE code_delete = 0 AND code_author = user_name ORDER BY code_date DESC LIMIT 5 OFFSET 0 ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:49,049> at [pers.husen.web.dbutil.DbQueryUtils.queryResultByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@95b4e0f: SELECT count(*) as count FROM code_library WHERE code_delete = 0 ---| click goto-> (DbQueryUtils.java:131)
[INFO ] <2026-05-18 15:01:49,049> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@8cc6a75: SELECT release_author, release_date, release_number, release_content, release_id FROM release_feature WHERE release_id = (SELECT max(release_id) FROM release_feature) ---| click goto-> (DbQueryUtils.java:79)
[INFO ] <2026-05-18 15:01:49,049> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@22caddeb: SELECT category_id, category_name, COUNT(*) AS category_num FROM article_category LEFT JOIN code_library ON code_delete = 0 AND category_id = code_category WHERE code_category IS NOT NULL GROUP BY category_id, category_name ORDER BY category_id ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:51,051> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@62fc91af: SELECT A.*, B.user_nick_name FROM (SELECT code_id, code_title, code_date, code_author, code_summary, code_read, code_html_content, code_md_content, code_label, code_category, category_name FROM code_library, article_category WHERE code_category = category_id AND code_id = 1 AND code_delete = 0) as A, user_info as B WHERE A.code_author = B.user_name ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:51,051> at [pers.husen.web.dbutil.DbManipulationUtils.dbManipulation] |--- com.mysql.jdbc.JDBC42PreparedStatement@2d1de899: UPDATE code_library SET code_read = ((SELECT selTmp.code_read FROM (select tmp.* from code_library tmp) AS selTmp where code_id = 1) + 1) WHERE code_id = 1 ---| click goto-> (DbManipulationUtils.java:67)
[INFO ] <2026-05-18 15:01:51,051> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@2cbe1825: SELECT A.*, B.user_nick_name FROM (SELECT code_id, code_title, code_date, code_author, code_summary, code_read, code_html_content, code_md_content, code_label, code_category, category_name FROM code_library, article_category WHERE code_category = category_id AND code_id = 1 AND code_delete = 0) as A, user_info as B WHERE A.code_author = B.user_name ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:51,051> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@744a0b0f: SELECT * FROM code_library WHERE code_delete = 0 AND code_id < 1 ORDER BY code_id DESC LIMIT 1 ---| click goto-> (DbQueryUtils.java:79)
